data	sample name	comment	7Li (µg/g)	23Na (%m/m)	25Mg (%m/m)	27Al (%m/m)	29Si (%m/m)	31P (%m/m)	39K (%m/m)	44Ca (%m/m)	45Sc (µg/g)	49Ti (%m/m)	51V (µg/g)	52Cr (µg/g)	55Mn (%m/m)	57Fe (%m/m)	59Co (µg/g)	60Ni (µg/g)	63Cu (µg/g)	66Zn (µg/g)	69Ga (µg/g)	89Y (µg/g)	90Zr (µg/g)
mean	BHVO-2G		4.248532	2.4709246	7.278815	13.818706	49.69425	0.29809937	0.5136291	11.506537	33.6623	2.8265185	314.8401	295.299	0.17180118	11.2942915	44.367077	118.32524	128.6466	103.27509	22.33666	26.429066	172.80371
stdev	BHVO-2G		1.623248	0.47655582	1.0463971	1.2951059	2.8811588	0.10890182	0.103684686	1.0739014	8.339178	0.28571677	56.966324	40.348614	0.026151719	1.5191432	10.456227	39.837788	25.500929	48.054855	2.3547966	1.6752336	16.874708
mean	BHVO-2G			2.439385	7.1160545	13.395072	50.551037	0.29062876	0.5039212	11.454532	31.387972	2.7842171	308.6601	299.68283	0.16869983	11.171704	42.700195	118.59779	127.23646	102.06693	22.033068	25.837006	169.33601
stdev	BHVO-2G			0.4690281	0.9978621	1.4226363	3.582049	0.083173044	0.09646516	1.0890083	5.461913	0.26111624	58.594303	47.011353	0.025076447	1.1630245	9.795653	39.498096	21.226496	44.47511	2.3978808	2.1911924	19.7669
mean	BCR-2G			3.6653743	3.6921697	13.365525	54.460983	0.39503098	1.8458984	7.185447	32.624943	2.4005218	380.6154	0.0	0.2123538	12.690379	38.071075	0.0	20.604456	133.67844	32.461517	36.417316	188.69695
stdev	BCR-2G			0.7565388	0.55279803	1.4370546	2.8386192	0.12627941	0.37343517	0.605999	8.896486	0.28321183	55.325153	0.0	0.028523592	1.4495136	9.374668	0.0	7.9524446	60.80948	3.7034798	2.9123602	21.935259
mean	BIR-1G			1.9620041	9.698908	15.346759	47.237244	0.0	0.0	13.270419	40.61671	1.065693	307.96802	428.78644	0.18328978	11.109121	54.487335	167.16783	136.57524	85.19107	15.127223	15.423314	14.294349
stdev	BIR-1G			0.33162203	1.4962262	2.1049082	4.26935	0.0	0.0	1.3124404	8.385152	0.14809069	58.580723	88.94514	0.026322352	1.8931195	15.605049	44.01199	30.203718	44.464523	1.9363946	1.5327765	2.1813161
mean	MongOl			0.021265067	47.28195	0.052024696	41.747505	0.0	0.0	0.10512622	0.0	0.0070438236	5.215862	130.3031	0.14251977	10.3637085	136.06152	2458.3345	0.0	58.54305	0.0	0.068864435	0.0
stdev	MongOl			0.005188782	4.2699366	0.012955273	4.6218724	0.0	0.0	0.023773467	0.0	0.0035148943	2.318596	29.649454	0.020510541	1.7175559	26.483149	468.5323	0.0	39.47572	0.0	0.019618528	0.0
mean	TG-01			0.0	45.77928	0.038063902	39.61987	0.0	0.0	0.41796872	6.403103	0.01981656	3.9369173	236.47961	0.20611553	13.728486	151.26387	1418.979	0.0	86.756004	0.13533333	0.10929154	0.0
stdev	TG-01			0.0	4.131172	0.008267453	4.0676885	0.0	0.0	0.057154678	3.4763405	0.006250676	2.1286852	51.018745	0.030729424	2.192979	31.912832	301.21826	0.0	47.54894	0.08078817	0.02700219	0.0
mean	TG-02			0.0	43.238174	0.037414715	40.157288	0.0	0.0	0.40256518	7.97309	0.022104926	4.413596	58.395206	0.24144529	15.740082	174.04002	1271.5082	0.0	92.6446	0.1525688	0.13574351	0.0
stdev	TG-02			0.0	3.8834674	0.008861108	3.6311626	0.0	0.0	0.054067623	3.7335474	0.0063993814	1.8816239	13.993028	0.04068658	2.4313307	41.566483	251.01065	0.0	42.259968	0.06988523	0.028766407	0.0
mean	TG-03			0.0	44.50198	0.041026354	39.207664	0.0	0.0	0.4065342	7.715464	0.017595721	5.1465793	98.56917	0.24192953	15.4183	173.29457	1268.8848	0.0	95.75135	0.32923406	0.14518535	0.0
stdev	TG-03			0.0	2.8995814	0.009021658	3.015696	0.0	0.0	0.040784825	4.121722	0.0051926877	2.1851346	17.465206	0.036172073	2.3814325	34.493168	217.61397	0.0	44.287693	0.12235261	0.02958208	0.0
mean	TG-04			0.0	42.843945	0.042170662	40.016834	0.0	0.0	0.3967309	6.9239635	0.021970011	5.1036005	55.820602	0.2509754	16.261211	184.62985	1303.4425	0.0	105.416885	0.16467236	0.14946079	0.0
stdev	TG-04			0.0	3.569497	0.009118577	3.7598379	0.0	0.0	0.051019043	3.548609	0.0055036857	2.0328145	14.541673	0.037375115	2.0687485	44.737312	219.55219	0.0	50.09162	0.09436463	0.028510539	0.0
mean	TG-05			0.0	43.639507	0.0	40.92262	0.0	0.0	0.48943475	7.8653874	0.025804233	5.1451373	136.50221	0.22189428	14.526358	161.19908	1337.4646	0.0	95.5763	0.0	0.1553722	0.0
stdev	TG-05			0.0	3.2032666	0.0	3.0176353	0.0	0.0	0.07361993	4.025948	0.006451495	1.9163836	24.552034	0.037725676	2.238552	29.763142	263.05722	0.0	43.661076	0.0	0.044841424	0.0
mean	TG-06			0.0	45.186577	0.03402332	40.452442	0.0	0.0	0.4297955	7.5657554	0.02074376	3.862499	163.91617	0.21705866	13.480163	150.26837	1381.6666	0.0	84.59404	0.13369446	0.113316104	0.0
stdev	TG-06			0.0	3.565329	0.008907656	3.4980867	0.0	0.0	0.060255356	3.863334	0.0062010717	1.7917129	38.37131	0.035335187	1.730666	29.94735	291.91013	0.0	53.695152	0.07448142	0.025827924	0.0
mean	TG-07			0.0	41.673725	0.03835526	38.578114	0.0	0.0	0.39751133	6.324516	0.02154948	4.690674	93.93118	0.28669986	18.837957	197.8864	1239.0557	0.0	118.77817	0.15320386	0.1640966	0.0
stdev	TG-07			0.0	3.7536166	0.0071225544	3.390969	0.0	0.0	0.05450191	3.3585646	0.0052661956	1.8734566	21.390732	0.037910882	2.6907291	40.412895	234.47325	0.0	45.267735	0.071405955	0.029822169	0.0
mean	TG-08			0.0	43.545883	0.037096377	39.77054	0.0	0.0	0.41799366	7.849993	0.025968552	4.5325894	37.181328	0.2500712	15.793784	181.12791	1253.6772	0.0	102.014244	0.13748823	0.14378259	0.0
stdev	TG-08			0.0	3.1916606	0.008017836	3.1198337	0.0	0.0	0.054202445	3.477625	0.0072207414	1.8531592	9.102935	0.039926074	2.0949945	32.66394	183.5705	0.0	44.06395	0.07526466	0.025436815	0.0
mean	TG-09			0.0	44.88632	0.03982124	40.247936	0.0	0.0	0.38625875	0.0	0.01966275	3.7785845	208.20195	0.2144529	14.016308	158.57066	1433.8047	0.0	87.8312	0.14483659	0.11498242	0.0
stdev	TG-09			0.0	3.1917262	0.010646451	3.5205336	0.0	0.0	0.052149195	0.0	0.006312982	2.039736	38.839466	0.03759582	2.0544329	35.34691	296.4777	0.0	42.248905	0.06420279	0.025487525	0.0
mean	TG-10			0.008595759	45.096943	0.038443785	40.456646	0.0	0.0	0.36570925	6.3610845	0.018716156	4.1355762	203.27486	0.209897	13.620507	162.24208	1393.704	0.0	75.44186	0.12917216	0.11949072	0.0
stdev	TG-10			0.0033045395	3.4345546	0.0086465655	3.4217396	0.0	0.0	0.05082767	3.233738	0.0065364945	1.8148817	35.506348	0.031388745	1.9235685	28.296818	200.72624	0.0	40.792267	0.068478726	0.024548957	0.0
mean	TG-11			0.0	45.825745	0.040850963	39.93048	0.0	0.0	0.39185864	6.61931	0.018332569	4.0439377	204.47015	0.21230546	13.406984	151.91808	1278.5558	0.0	88.33024	0.16431694	0.111067444	0.0
stdev	TG-11			0.0	3.2397394	0.008938971	3.1192048	0.0	0.0	0.04772584	3.3523908	0.0058148587	1.7981855	33.449905	0.027357403	2.0468094	26.978842	185.90201	0.0	36.61732	0.080802545	0.01863867	0.0
mean	TG-12			0.0	44.865536	0.03498213	40.095726	0.0	0.0	0.42344686	8.532704	0.022429535	3.931577	73.86987	0.22606534	14.167781	166.27327	1290.1663	1.6916796	95.60731	0.19392146	0.13324481	0.0
