data	sample name	comment	7Li (µg/g)	23Na (%m/m)	25Mg (%m/m)	27Al (%m/m)	29Si (%m/m)	31P (%m/m)	39K (%m/m)	44Ca (%m/m)	45Sc (µg/g)	49Ti (%m/m)	51V (µg/g)	52Cr (µg/g)	55Mn (%m/m)	57Fe (%m/m)	59Co (µg/g)	60Ni (µg/g)	63Cu (µg/g)	66Zn (µg/g)	69Ga (µg/g)	89Y (µg/g)	90Zr (µg/g)
mean	BHVO-2G		4.3339787	2.337192	7.1964045	13.570151	50.181416	0.2899789	0.5168306	11.423068	33.291515	2.772979	306.72382	292.78046	0.16850118	11.41842	45.34849	117.80696	128.05817	103.66535	22.081808	26.025143	170.46611
stdev	BHVO-2G		1.730135	0.5586448	1.1755353	1.5673587	3.9152477	0.09059376	0.13229786	1.1523175	8.3512945	0.3192041	50.68317	63.188557	0.030166768	1.8424207	13.754814	38.41797	25.438934	34.925224	2.279878	2.022213	16.467365
mean	BHVO-2G		4.3647256	2.3646376	7.1386294	13.531128	50.325523	0.29254472	0.51345533	11.422448	33.02955	2.7930222	305.54373	290.92145	0.17067786	11.323589	43.89541	117.999626	128.03577	101.56031	22.010468	26.034933	170.04385
stdev	BHVO-2G		1.7739588	0.65629625	1.0321131	1.7095368	4.5036316	0.11415705	0.11319011	1.1418275	8.574008	0.32920736	59.88399	58.82549	0.031746972	2.216755	13.451099	44.218876	37.107277	37.924667	2.5027807	2.265489	18.667927
mean	BCR-2G		8.561613	3.2779477	3.6158223	13.838475	54.327717	0.38833484	1.869888	7.2485666	34.518345	2.3440852	405.1764	0.0	0.20844407	12.790964	35.52931	0.0	17.735157	132.76607	32.239223	37.350945	193.70209
stdev	BCR-2G		3.0169418	0.628954	0.52172625	1.764439	4.08292	0.11868737	0.40123722	0.66184103	7.2228785	0.21417977	76.40099	0.0	0.037538216	2.2616704	10.378337	0.0	6.840078	46.2303	3.1780267	3.1844506	21.375097
mean	BIR-1G		3.2391977	1.9227234	9.839664	15.680551	46.882328	0.0	0.026372546	13.786868	45.907166	1.0419865	325.52805	386.54037	0.18112361	10.515976	51.41773	169.82407	123.582146	72.67029	15.023995	15.836595	14.576179
stdev	BIR-1G		1.3045398	0.4409849	1.5340624	1.8807766	4.5537186	0.0	0.007529866	1.3202759	8.809335	0.13969906	56.82756	95.19208	0.03745532	1.7520707	14.407291	57.369854	29.34897	38.574284	1.8023536	1.5439517	2.0820916
mean	MongOl		0.0	0.018696528	48.08717	0.048620306	40.483616	0.0	0.0	0.106550165	0.0	0.0063847434	5.348955	115.563324	0.14770564	10.810337	140.43425	2589.1443	0.0	58.79326	0.13486192	0.07458018	0.0
stdev	MongOl		0.0	0.00424071	3.5702155	0.0064126467	3.9474282	0.0	0.0	0.015915811	0.0	0.0029608572	2.1849926	23.182722	0.025857242	1.9103204	31.32382	511.47565	0.0	25.388468	0.057618484	0.018149776	0.0
mean	TG-01		0.0	0.0	47.559788	0.10984722	39.500027	0.0	0.0	0.30145204	5.708225	0.018196944	7.0976076	1017.9302	0.17716779	11.981904	148.28555	2246.8164	0.0	90.00877	0.28713077	0.09774499	0.0
stdev	TG-01		0.0	0.0	3.2795942	0.046490915	2.7941957	0.0	0.0	0.038564432	2.249629	0.0057015894	2.7320476	459.6112	0.024861282	1.800538	27.400694	436.97708	0.0	29.549034	0.11978628	0.019139478	0.0
mean	TG-03		2.059777	0.0	43.469677	0.04399686	39.479572	0.0	0.0	0.2902917	5.5555224	0.02078759	5.5822954	112.628654	0.23631519	16.27842	177.13947	1392.8618	0.0	113.45735	0.15405352	0.13022013	0.0
stdev	TG-03		0.88593346	0.0	3.6801124	0.006349689	3.3488512	0.0	0.0	0.030944183	2.5188181	0.0048207156	2.2610943	18.608917	0.03484083	2.2763166	34.061905	277.21323	0.0	41.219532	0.06545392	0.023139847	0.0
mean	TG-05		1.963571	0.0	42.169556	0.036550526	38.611492	0.0	6.9262227e-4	0.36120245	5.46548	0.027177589	4.8424425	43.931725	0.2535968	18.369738	196.6875	1319.2804	0.0	127.47833	0.14990059	0.1459772	0.0
stdev	TG-05		1.0741837	0.0	3.6269317	0.005962457	3.3653142	0.0	0.0024612006	0.03840992	2.3956356	0.0062061665	1.7372111	10.573434	0.043700572	2.3805735	35.152737	273.20755	0.0	44.875957	0.06337891	0.023248665	0.0
mean	TG-06		2.5269108	0.0	40.443413	0.03628408	38.80784	0.0	0.0	0.3056327	0.0	0.023383364	4.015911	24.599825	0.34873632	19.92527	187.75537	706.4804	0.0	168.64346	0.1666299	0.19312972	0.0
stdev	TG-06		1.1289066	0.0	3.3109376	0.0052858307	3.141349	0.0	0.0	0.033755675	0.0	0.0047836956	1.6660029	8.862524	0.053998757	2.8141954	42.8137	152.43703	0.0	46.15281	0.06771857	0.03406094	0.0
mean	TG-08		2.0499082	0.0	45.127644	0.038932323	40.11027	0.0	0.0	0.3541628	5.621028	0.016383843	4.29291	224.14648	0.19994092	13.935245	161.9399	1677.3182	0.0	98.55239	0.1475391	0.09608594	0.0
stdev	TG-08		0.9221905	0.0	4.2429886	0.0065489425	4.008635	0.0	0.0	0.037416432	2.1278121	0.003700735	1.6951286	40.993797	0.03768385	2.1891983	34.870865	336.80447	0.0	28.5156	0.07017301	0.021388063	0.0
mean	TG-09		0.0	0.0	42.82946	0.040656418	39.246006	0.0	0.0	0.36714074	6.0078464	0.02156072	4.736305	65.049	0.24180257	17.060678	189.67216	1541.1742	0.0	119.89754	0.16597341	0.14548376	0.0
