data	sample name	comment	7Li (µg/g)	23Na (%m/m)	25Mg (%m/m)	27Al (%m/m)	29Si (%m/m)	31P (%m/m)	39K (%m/m)	44Ca (%m/m)	45Sc (µg/g)	49Ti (%m/m)	51V (µg/g)	52Cr (µg/g)	55Mn (%m/m)	57Fe (%m/m)	59Co (µg/g)	60Ni (µg/g)	63Cu (µg/g)	66Zn (µg/g)	69Ga (µg/g)	89Y (µg/g)	90Zr (µg/g)
mean	BHVO-2G		4.2860146	2.4284198	7.0930614	13.581534	50.21244	0.28401023	0.5117386	11.404583	33.42959	2.7722442	308.5409	295.07974	0.17188074	11.414996	43.438644	119.17362	126.55167	103.45315	21.814129	25.775093	169.41777
stdev	BHVO-2G		1.7753415	0.70942086	1.1188319	1.7582026	4.6391716	0.09571021	0.15564169	1.2572249	7.843207	0.32204744	66.748955	63.940826	0.027388701	1.8475826	14.792681	44.674473	28.397793	39.495438	2.6177888	2.6562634	21.26141
mean	BCR-2G		8.808165	3.4342391	3.4130912	12.785871	56.395782	0.34610105	1.6990885	6.747216	32.751633	2.1816487	389.2826	0.0	0.19420187	12.718013	35.08525	0.0	18.415983	121.41111	30.938847	34.146954	176.62369
stdev	BCR-2G		3.0342019	0.9068618	0.5635996	1.9542145	4.618349	0.10123347	0.43855846	0.8232354	7.0904217	0.32575214	81.28258	0.0	0.030512687	2.260996	9.714206	0.0	6.7810864	40.16135	3.6052403	3.6281662	19.285435
mean	BIR-1G		0.0	1.893638	9.487506	15.079034	48.521824	0.0	0.023485962	13.141586	43.36573	1.0212774	318.39642	388.83023	0.17874686	10.530374	50.442196	184.98654	124.287636	71.726074	14.352654	14.890457	13.923432
stdev	BIR-1G		0.0	0.55531496	1.6273619	2.5252292	5.8854876	0.0	0.0062534125	1.7485477	10.713731	0.16837017	64.61301	84.57481	0.03673212	1.8352411	12.335256	49.89854	31.423822	27.660723	1.6492251	1.6113081	2.0675595
mean	MongOl		0.0	0.019324569	46.231426	0.048989527	42.845432	0.0	0.0	0.107738055	0.0	0.0068761627	5.0207705	119.41166	0.14258604	10.3154	143.27293	2500.4067	0.0	54.03853	0.0	0.07161957	0.0
stdev	MongOl		0.0	0.004997165	3.554962	0.006305263	4.050031	0.0	0.0	0.016019925	0.0	0.0030812316	1.8695772	22.551567	0.026930531	1.4657782	44.188515	438.74982	0.0	20.204206	0.0	0.01683661	0.0
mean	TG-01		0.0	0.0	44.54363	0.03499396	41.670452	0.0	0.0	0.333323	4.823175	0.014580266	4.2663727	241.75546	0.20091762	12.997304	151.16356	1558.3597	0.0	87.54067	0.0	0.09757551	0.0
stdev	TG-01		0.0	0.0	3.6702275	0.005224703	3.4814103	0.0	0.0	0.03645229	2.435614	0.0044214213	2.0909376	32.056564	0.04188382	1.6608118	37.517185	270.37872	0.0	27.468372	0.0	0.017323168	0.0
mean	TG-02		3.7099948	0.0	35.61407	0.031434774	40.373306	0.0	0.0	0.29003757	3.9293597	0.026635084	6.553657	0.0	0.40810466	23.129719	195.86302	871.8734	2.047762	182.52171	0.16183324	0.26460993	0.11246821
stdev	TG-02		1.2542981	0.0	3.2550335	0.003996013	3.8679092	0.0	0.0	0.038438093	2.1524875	0.0051418594	1.9922336	0.0	0.055912327	2.7975726	34.296276	148.84766	1.5919244	57.02251	0.05153709	0.029131409	0.071105875
mean	TG-03		3.4958582	0.0	36.653233	0.02720022	39.64573	0.0	0.0	0.28215027	0.0	0.025662115	5.9433136	0.0	0.41588613	22.826838	197.66132	829.3653	0.0	196.0648	0.0	0.26281536	0.12355502
stdev	TG-03		1.1335489	0.0	3.9511235	0.003882348	5.1374946	0.0	0.0	0.03255523	0.0	0.0045598005	1.7209034	0.0	0.073542885	3.6843982	38.117424	127.678955	0.0	46.877457	0.0	0.04283227	0.05806136
mean	TG-04-02		0.0	0.00951128	44.692955	0.03753873	41.633102	0.0	0.0	0.35762608	0.0	0.016118368	4.2837696	259.1903	0.19621637	12.832764	154.41307	1743.2528	0.0	80.47369	0.0	0.10036457	0.0
stdev	TG-04-02		0.0	0.0023235972	3.6262586	0.0056875967	4.035677	0.0	0.0	0.041614734	0.0	0.004489208	1.7257432	46.402058	0.03384232	2.051458	34.433556	460.25656	0.0	29.131989	0.0	0.01855789	0.0
mean	TG-05		0.0	0.0	45.16331	0.028700503	41.18689	0.0	0.0	0.37168348	5.432616	0.01059235	3.8391113	215.03127	0.20105329	12.821511	154.63466	1690.4529	2.8874378	90.081474	0.0	0.09895545	0.044001896
stdev	TG-05		0.0	0.0	4.1718364	0.004845951	4.806887	0.0	0.0	0.044667244	2.4090579	0.0035397124	1.6602172	41.380573	0.0313722	2.2264187	46.134586	295.1266	1.7866534	33.981686	0.0	0.021003809	0.04166862
mean	TG-06		0.0	0.0	45.129807	0.03262405	40.684536	0.0	0.0	0.3300195	5.2864294	0.013743502	4.1716495	236.4673	0.19877028	13.3940525	165.00592	1662.6863	3.4927213	87.34349	0.0	0.09165037	0.0
stdev	TG-06		0.0	0.0	4.0313444	0.00499907	3.9346492	0.0	0.0	0.042343132	2.3707697	0.004683758	1.638641	38.396317	0.032050747	2.198448	64.307465	463.2581	2.4960885	36.887596	0.0	0.01691407	0.0
mean	TG-07		0.0	0.0	44.162624	0.03688752	41.674652	0.0	0.0	0.34934193	5.0828385	0.017255964	4.657021	236.19003	0.20356248	13.323582	163.14847	1820.996	2.9326644	87.80688	0.0	0.098783	0.0
stdev	TG-07		0.0	0.0	3.7712905	0.0059214085	4.192693	0.0	0.0	0.042470377	2.3619106	0.0044006733	2.0469668	50.07538	0.029702222	2.3518	38.423176	536.32654	1.7247823	30.561176	0.0	0.0183018	0.0
mean	TG-08-01		0.0	0.0	14.396263	18.405827	8.595406	0.0	0.0	0.0	9.216577	2.5733767	1138.6328	253123.53	0.2300379	30.12288	226.66112	1434.1334	11.434437	757.21735	61.0133	0.17587128	0.0
stdev	TG-08-01		0.0	0.0	1.9577651	1.6477358	3.385508	0.0	0.0	0.0	2.2974703	0.16612509	137.51456	27144.75	0.03617501	2.8155134	37.649086	433.17163	3.99188	162.24734	6.780374	0.056889784	0.0
mean	TG-08-02		0.0	0.0	45.23786	0.035145033	40.86099	0.0	0.0	0.33274177	4.4879904	0.013396685	4.27209	252.16318	0.20465867	13.082835	157.97787	1815.0	3.2040443	86.6211	0.0	0.093707204	0.0
stdev	TG-08-02		0.0	0.0	4.365591	0.0052565443	4.7603083	0.0	0.0	0.041467443	2.0700893	0.003971788	1.5102017	42.27985	0.04549002	2.497329	30.305761	372.98962	2.126702	26.354954	0.0	0.01757603	0.0
mean	TG-09		0.0	0.0	43.582058	0.03991327	42.1799	0.0	0.0	0.35158333	5.735714	0.017839013	4.436311	219.46371	0.20468213	13.413765	157.8298	1621.8634	0.0	93.190025	0.0	0.10676245	0.0
stdev	TG-09		0.0	0.0	4.0098987	0.0065327925	4.5102053	0.0	0.0	0.041284643	2.3162913	0.0047694705	1.9778512	46.787067	0.033328712	2.7071128	38.09814	360.92984	0.0	34.90324	0.0	0.03812476	0.0
